show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres
s1014,Movie,Bob's Broken Sleigh,Jay Surridge,"Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite, Raini Rodriguez, Colin Murdock, Maryke Hendrikse, Sam Vincent, Gabe Khouth",Canada,17-Dec-15,2015,TV-G,47,Children & Family Movies
s1015,Movie,Bobbi Jene,Elvira Lind,Bobbi Jene Smith,"Denmark, Sweden, Israel, United States",01-Jun-18,2017,TV-MA,99,Documentaries
s1016,Movie,Bobbleheads The Movie,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",United States,08-Dec-20,2020,PG,83,"Children & Family Movies, Comedies"
s1017,Movie,Bobby,Raj Kapoor,"Rishi Kapoor, Dimple Kapadia, Pran, Prem Nath, Sonia Sahni, Durga Khote, Aruna Irani, Prem Chopra, Farida Jalal",India,31-Dec-19,1973,TV-14,168,"Classic Movies, Dramas, International Movies"
s1018,Movie,Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Supriya Pathak, Tanvi Azmi, Zarina Wahab, Kiran Kumar, Rajendra Gupta, Arjan Bajwa, Prasad Barve, Aakash Dahiya",India,31-Dec-20,2014,TV-14,116,"Comedies, Dramas, International Movies"
s1019,TV Show,Bobby Kennedy for President,Dawn Porter,Robert F. Kennedy,,27-Apr-18,2018,TV-MA,1,Docuseries
s102,Movie,3 Seconds Divorce,Shazia Javed,,Canada,15-Jun-19,2018,TV-PG,53,"Documentaries, Faith & Spirituality"
s1020,Movie,Bobby Robson: More Than a Manager,"Gabriel Clarke, Torquil Jones",Bobby Robson,United Kingdom,01-Dec-18,2018,TV-14,99,"Documentaries, International Movies, Sports Movies"
s1021,Movie,Bobby Sands: 66 Days,Brendan Byrne,,"Ireland, United Kingdom",28-Sep-17,2016,TV-14,106,Documentaries
s1022,TV Show,Boca Juniors Confidential,,,,14-Sep-18,2018,TV-PG,1,"Docuseries, International TV Shows, Spanish-Language TV Shows"
s1023,Movie,Bodyguard,Siddique,"Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig",India,19-Nov-20,2011,TV-14,130,"Action & Adventure, Comedies, International Movies"
s1024,Movie,Bogda,Nisheeta Keni,"Suhas Joshi, Mrunmayee Deshpande, Rohit Kokate, Ajinkya Bhosale, Jayant Gadekar, Vivekanand Walake, Pallavi Malvade, Nirmala Tikam",India,16-Jul-19,2018,TV-PG,161,"Dramas, International Movies"
s1025,Movie,Boi,Jorge M. Fontana,"Bernat Quintana, Adrian Pang, Andrew Lua, Rachel Lascar, Fina Rius, Miranda Gas",Spain,26-Jul-19,2018,TV-MA,111,"Dramas, Independent Movies, International Movies"
s1026,TV Show,BoJack Horseman,,"Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",United States,25-Oct-19,2020,TV-MA,6,TV Comedies
s1027,Movie,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,,"Will Arnett, Aaron Paul, Alison Brie, Adam Conover, Kristen Schaal, Fred Savage",United States,19-Dec-14,2014,TV-MA,26,Movies
s1028,Movie,Bokeh,"Geoffrey Orthwein, Andrew Sullivan","Maika Monroe, Matt O'Leary, Arnar Jónsson, Gunnar Helgason, Berglind Rós Sigurðardóttir","United States, Iceland",22-Jun-17,2017,TV-14,92,"Dramas, Independent Movies, Sci-Fi & Fantasy"
s1029,TV Show,Bolívar,"Luis Alberto Restrepo, Andrés Beltrán, Jaime Rayo","Luis Gerónimo Abreu, José Ramón Barreto, Ernesto Benjumea, Félix Antequera, Jefferson Quiñones, Shany Nadan, María José Vargas, Hans Martínez, Mauro Mauad, Álvaro Bayona, Rosmeri Marval, Irene Esser, Nohely Arteaga",Colombia,21-Jun-19,2019,TV-MA,1,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
s103,Movie,3 Türken & ein Baby,Sinan Akkuş,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",Germany,15-Dec-16,2015,TV-MA,93,"Comedies, International Movies"
s1030,Movie,Bollywood Calling,Nagesh Kukunoor,"Om Puri, Pat Cusick, Navin Nischol, Perizaad Zorabian",India,15-Apr-19,2001,TV-MA,102,"Comedies, Dramas, International Movies"
s1031,Movie,Bolt,"Byron Howard, Chris Williams","John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, John DiMaggio, Daran Norris, Jeff Bennett, Brian Stepanek, Todd Cummings",United States,22-Jul-18,2008,PG,99,"Children & Family Movies, Comedies"
s1032,Movie,Bomb Scared,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren, Gorka Otxoa, Tina Sáinz, Ramón Barea",Spain,12-Oct-17,2017,TV-MA,89,"Comedies, Independent Movies, International Movies"
s1033,Movie,Bombairiya,Pia Sukanya,"Radhika Apte, Siddhant Kapoor, Akshay Oberoi, Adil Hussain, Amit Sial, Ravi Kishan, Ajinkya Deo, Shilpa Shukla","United Arab Emirates, United Kingdom, India",15-Mar-19,2018,TV-MA,108,"Comedies, Dramas, International Movies"
s1034,Movie,Bombay Talkies,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","Rani Mukerji, Randeep Hooda, Saqib Saleem, Nawazuddin Siddiqui, Sadashiv Amrapurkar, Amitabh Bachchan, Ranvir Shorey, Katrina Kaif, Diana Penty",India,05-Jul-20,2013,TV-MA,123,"Dramas, International Movies"
s1035,Movie,Bombshell,Riccardo Pilizzeri,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",New Zealand,01-Oct-16,2016,TV-MA,86,Dramas
s1036,Movie,Bombshell: The Hedy Lamarr Story,Alexandra Dean,Hedy Lamarr,United States,31-May-18,2017,TV-14,89,Documentaries
s1037,Movie,Bon Bini Holland,Jelle de Jonge,"Jandino Asporaat, Liliana de Vries, Teun Kuilboer, Sergio IJssel, Dennis Rudge, Alpha Oumar Barry, Phi Nguyen",Netherlands,01-Sep-16,2015,TV-MA,88,"Comedies, International Movies"
s1038,Movie,Bon Cop Bad Cop 2,Alain Desrochers,"Patrick Huard, Colm Feore, Marc Beaupré, Noam Jenkins, Andreas Apergis, Mariana Mazza, Erik Knudsen, Sarah-Jeanne Labrosse, Lucie Laurier, Neil Crone, Catherine St-Laurent",Canada,11-Nov-17,2017,TV-MA,126,"Action & Adventure, Comedies, International Movies"
s1039,Movie,"Bon Cop, Bad Cop",Erik Canuel,"Patrick Huard, Colm Feore, Sylvain Marcel, Lucie Laurier, Pierre Lebeau, Ron Lea, Sarain Boylan, Louis-José Houde",Canada,15-Mar-17,2006,TV-MA,117,"Action & Adventure, Comedies, International Movies"
s104,Movie,30 Days of Luxury,Hani Hamdi,"Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar",Egypt,18-Apr-19,2016,TV-14,91,"Comedies, International Movies"
s1040,TV Show,Bondi Rescue,,"Andrew Günsberg, Dean Gladstone, Bruce Hopkins, Trent 'Maxi' Maxwell, Andrew Reid, Ryan Clark, Chris Chapman, Anthony 'Harries' Caroll",Australia," November 1, 2019",2016,TV-PG,1,Reality TV
s1041,TV Show,BONDING,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould",United States,22-Sep-19,2019,TV-MA,1,"TV Comedies, TV Dramas"
s1042,Movie,Bonnie and Clyde,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons, Denver Pyle, Dub Taylor, Evans Evans, Gene Wilder",United States,01-Jan-21,1967,R,111,"Action & Adventure, Classic Movies, Dramas"
s1043,TV Show,Bonus Family,,"Vera Vitali, Erik Johansson, Fredrik Hallgren, Petra Mede, Frank Dorsin, Jacob Lundqvist, Amanda Lindh, Marianne Mörck, Barbro Svensson, Ann Petrén, Johan Ulveson, Leo Razzak, Felix Engström",Sweden,12-Jul-19,2019,TV-MA,3,"International TV Shows, TV Dramas"
s1044,TV Show,Booba,,Roman Karev,Russia,16-Jan-20,2019,TV-Y7,3,"Kids' TV, TV Comedies"
s1045,TV Show,Bookmarks,,Marley Dias,United States,01-Sep-20,2020,TV-Y,1,Kids' TV
s1046,Movie,Boom,Kaizad Gustad,"Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani",India,01-Mar-18,2003,TV-MA,79,"Action & Adventure, Dramas, International Movies"
s1047,TV Show,Border Patrol,,Timothy Balme,,02-Oct-19,2016,TV-PG,1,Reality TV
s1048,TV Show,Border Security: America's Front Line,,,Canada,01-Jan-20,2018,TV-14,1,"Crime TV Shows, International TV Shows, Reality TV"
s1049,TV Show,Borderline,,"David Avery, Jackie Clune, David Elms, Liz Kingsman, Jamie Michie",United Kingdom," December 2, 2017",2017,TV-14,2,"British TV Shows, TV Comedies"
s105,Movie,30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward",United States,01-Jan-21,2011,R,83,"Action & Adventure, Comedies"
s1050,TV Show,Borderliner,,"Tobias Santelmann, Ellen Dorrit Petersen, Benjamin Helstad, Frode Winther, Bjørn Skagestad, Eivind Sander, Thelma Farnes Ottersen, Todd Bishop Monrad Vistven, Ole Christoffer Ertvaag, Marina Popovic, Gine Cornelia Pedersen, Ana Gil de Melo Nascimento, Kim-Henning Nilsen, Morten Svartveit, Ellen Birgitte Winther, Even Pedersen","Norway, Germany, Sweden",06-Mar-18,2017,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas"
s1051,TV Show,Bordertown,,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Kristiina Halttu, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid","Finland, France",11-May-20,2019,TV-MA,3,"Crime TV Shows, International TV Shows, TV Dramas"
s1052,TV Show,Borgen,,"Sidse Babett Knudsen, Birgitte Hjort Sørensen, Pilou Asbæk, Emil Poulsen, Freja Riemann, Søren Malling, Thomas Levin, Benedikte Hansen, Mikael Birkkjær, Anders Juul, Lisbeth Wulff, Kasper Lange, Lars Knutzon, Søren Spanning, Christoph Bastrup, Morten Kirkskov, Bjarne Henriksen, Peter Mygind, Ole Thestrup, Iben Dorner, Dar Salim, Jens Albinus, Christian Tafdrup, Alastair Mackenzie, Julie Agnete Vang, Kristian Halken, Ricard Lawrence, Marie Askehave, Rikke Lylloff, Mille Dinesen, Anne Sofie Espersen",Denmark,01-Sep-20,2012,TV-MA,3,"International TV Shows, TV Dramas"
s1053,TV Show,Borges,,"Thati Lopes, Antonio Pedro Tabet, Karina Ramil, Rafael Portugal, Luis Lobianco",Brazil,25-Jun-18,2018,TV-MA,1,"International TV Shows, TV Comedies"
s1054,Movie,Born Beautiful,Perci Intalan,"Martin del Rosario, Lou Veloso, Chai Fonacier, Kiko Matos, Akihiro Blanco, Paolo Ballesteros",Philippines,08-Apr-20,2019,TV-MA,96,"Comedies, Dramas, International Movies"
s1055,Movie,Born in Gaza,Hernán Zin,,Spain,17-May-19,2014,TV-14,70,"Documentaries, International Movies"
s1056,Movie,Born in Syria,Hernán Zin,,"Denmark, Spain",17-May-19,2016,TV-14,87,"Documentaries, International Movies"
s1057,Movie,Born Racer,Bryn Evans,Scott Dixon,New Zealand,08-Jul-20,2018,R,89,"Documentaries, Sports Movies"
s1058,Movie,Born Strong,"Gary Cohen, Ross Hockrow","Eddie Hall, Hafþór Júlíus Björnsson, Brian Shaw, Zydrunas Savickas",United States,31-Dec-17,2017,TV-MA,86,"Documentaries, Sports Movies"
s1059,Movie,Born to Be Free,Gayane Petrosyan,"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years.","United Kingdom, Russia",01-Apr-17,2016,TV-14,74,"Documentaries, International Movies"
s106,Movie,300 Miles to Heaven,Maciej Dejczer,"Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata","Denmark, France, Poland",01-Oct-19,1989,TV-14,93,"Dramas, International Movies"
s1060,Movie,Boss,Anthony D'Souza,"Akshay Kumar, Ronit Roy, Shiv Pandit, Mithun Chakraborty, Johny Lever, Aditi Rao Hydari, Danny Denzongpa, Govind Namdeo, Parikshat Sahni, Aakash Dabhade",India,05-Jul-20,2013,TV-14,139,"Action & Adventure, Comedies, Dramas"
s1061,Movie,Bosta,Philippe Aractingi,"Rodney El Haddad, Nadine Labaky, Nada Abou Farhat, Liliane Nemri, Omar Rajeh, Mounir Malaeb, Bshara Atallah, Rana Alamuddin, Joelle Rizk, Mahfouz Barakat, Mahmoud Mabsout, Bader Haddad, Youssef Emalhoub",Lebanon,19-Oct-20,2005,TV-14,112,"Dramas, International Movies, Music & Musicals"
s1062,TV Show,Botched Up Bodies,,"Charlie Brooks, Sue Johnston",United Kingdom,02-Oct-19,2013,TV-MA,1,"British TV Shows, Docuseries, International TV Shows"
s1063,TV Show,Bottersnikes & Gumbles,,"Jason Callender, Kathryn Drysdale, Akiya Henry, Jeff Rawle, Richard Grieve, Simone Craddock, Alex Babic, Miriam Margolyes","United States, United Kingdom, Australia",24-Mar-17,2017,TV-Y7,2,"British TV Shows, Kids' TV"
s1064,Movie,Bottom of the World,Richard Sears,"Jena Malone, Douglas Smith, Ted Levine, Tamara Duarte, Kelly Pendygraft, Mark Sivertsen, Jon McLaren","Canada, United States",28-May-20,2017,TV-MA,84,"Dramas, Independent Movies, Thrillers"
s1065,TV Show,Bountiful Blessings,,"Jessica Hsuan, Tay Ping Hui, Thomas Ong, Jeffrey Xu, Ya Hui, Ann Kok, Zhu Houren, Yao Wenlong",Singapore,01-Aug-17,2011,TV-14,1,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s1066,Movie,Boushkash,"Ahmed Yousry, Hazem Fouda","Mohamed Saad, Zeina, Ezzat Abou Aouf, Edward, Hassan Hosny, Ahmed Rateb, Hamdi el Sakhawy, Safaa El-Toukhy",Egypt,28-Apr-20,2008,TV-MA,100,"Comedies, International Movies"
s1067,Movie,Boy and the World,Alê Abreu,"Vinícius Garcia, Felipe Zilse, Alê Abreu, Lu Horta, Marco Aurélio Campos, Cassius Romero, Alfredo Rollo",Brazil,01-Oct-17,2013,PG,80,Children & Family Movies
s1068,Movie,Boy Bye,Chris Stokes,"Wendy Raquel Robinson, Ross Fleming, Shondrella Avery, Tammy Townsend, Omar Gooding, Tracy Davis, Veronika Bozeman, Kelly Perine, Valarie Pettiford",United States,02-Apr-19,2016,TV-MA,86,"Comedies, Romantic Movies"
s1069,Movie,Boy Missing,Mar Targarona,"Blanca Portillo, Antonio Dechent, Vicente Romero, Marc Domènech, Nausicaa Bonnín, Andrés Herrera, José Coronado, Macarena Gómez, Paco Manzanedo, Sergi Subirà",Spain,19-Feb-17,2016,TV-MA,105,"International Movies, Thrillers"
s107,Movie,365 Days,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski",Poland,07-Jun-20,2020,TV-MA,114,"Dramas, International Movies, Romantic Movies"
s1070,Movie,Boyka: Undisputed,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov, Brahim Achabbakhe, Paul Chahidi, Petio Petkov, Valentin Ganev, Vlado Mihailov","Bulgaria, United States",01-Aug-19,2016,R,90,Action & Adventure
s1071,TV Show,Boys Over Flowers,,"Ku Hye-sun, Lee Min-ho, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun, Lee Hye-yeong, Park Ji-bin, Lim Ye-jin, Jeong Ho-bin",South Korea,16-May-20,2009,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s1072,Movie,Brad Paisley's Comedy Rodeo,Jay Chapman,"Brad Paisley, Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana, Mike E. Winfield",United States,15-Aug-17,2017,TV-MA,63,Stand-Up Comedy
s1073,Movie,Brahman Naman,Qaushiq Mukherjee,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad, Vaishwath Shankar, Sindhu Sreenivasa Murthy, Sid Mallya, Denzil Smith","India, United Kingdom",06-Jul-16,2016,TV-MA,96,"Comedies, Independent Movies, International Movies"
s1074,TV Show,Brain Games,,Jason Silva,United States," March 15, 2019",2016,TV-G,3,"Docuseries, Science & Nature TV"
s1075,Movie,Brain on Fire,Gerard Barrett,"Chloë Grace Moretz, Thomas Mann, Richard Armitage, Jenny Slate, Carrie-Anne Moss, Tyler Perry, Alex Zahara","United States, Canada, Ireland",22-Jun-18,2016,PG-13,89,"Dramas, Independent Movies, International Movies"
s1076,TV Show,Brainchild,,"Sahana Srinivasan, Alie Ward, Ben Seidman",,02-Nov-18,2018,TV-G,1,Kids' TV
s1077,Movie,Brampton's Own,Michael Doneger,"Alex Russell, Rose McIver, Jean Smart, Scott Porter, Kevin Linehan, Spencer Grammer, Carter Hastings, Riley Voelkel, John Getz",United States,19-Apr-19,2018,TV-MA,90,"Dramas, Romantic Movies, Sports Movies"
s1078,Movie,Bratz: The Movie,Sean McNamara,"Logan Browning, Janel Parrish, Nathalia Ramos, Skyler Shaye, Chelsea Kane",United States,29-Jun-20,2007,PG,102,"Children & Family Movies, Comedies"
s1079,Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,"Liam Neeson, Matt Damon, Jaden Smith","Canada, United Kingdom",21-Oct-20,2020,TV-PG,51,"Documentaries, International Movies"
s108,Movie,37 Seconds,Hikari,"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi",Japan,31-Jan-20,2020,TV-MA,116,"Dramas, International Movies"
s1080,TV Show,Brave Miss World,Cecilia Peck,Linor Abargil,"United States, Israel, Italy, South Africa",17-Feb-18,2013,TV-14,1,"Crime TV Shows, Docuseries"
s1081,Movie,Brave New Jersey,Jody Lambert,"Tony Hale, Anna Camp, Sam Jaeger, Heather Burns, Dan Bakkedahl, Raymond J. Barry, Erika Alexander, Mel Rodriguez, Evan Jonigkeit, Grace Kaufman",United States,15-Dec-17,2016,TV-MA,92,"Comedies, Independent Movies"
s1082,Movie,Braven,Lin Oeding,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang, Sasha Rosoff, Sala Baker, Fraser Aitcheson, Teach Grant, Glenn Ennis, Todd Scott, Zahn McClarnon, Brendan Fletcher",Canada,17-Dec-20,2018,R,94,Action & Adventure
s1083,TV Show,Braxton Family Values,,"Toni Braxton, Trina Braxton, Traci Braxton, Towanda Braxton, Tamar Braxton",United States,15-Feb-20,2014,TV-PG,2,Reality TV
s1084,TV Show,Bread Barbershop,,"Um Sang-hyun, Park Yoon-hee, Kang Shi-hyun, Hong Bum-ki, Kim Hyun-wook, Lee In-suk, Song Ha-rim",,15-Aug-20,2020,TV-Y,1,"Kids' TV, TV Comedies"
s1085,Movie,Break,Marc Fouchard,"Sabrina Ouazani, Kévin Mischel, Hassam Ghancy, Slimane, Maxime Pambet, Camille Japy, Christophe Reymond","France, Belgium",03-Dec-20,2018,TV-MA,96,"Comedies, Dramas, International Movies"
s1086,TV Show,BREAK IT ALL: The History of Rock in Latin America,Picky Talarico,,,16-Dec-20,2020,TV-MA,1,"Docuseries, Spanish-Language TV Shows"
s1087,Movie,Break Ke Baad,Danish Aslam,"Imran Khan, Deepika Padukone, Shahana Goswami, Lillete Dubey, Sharmila Tagore, Navin Nischol, Parzan Dastur, Neelu Kohli, Ziyah Vastani, Yudhishtir Urs, Grady McGahan",India,19-Nov-20,2010,TV-14,108,"Comedies, International Movies, Music & Musicals"
s1088,Movie,Break Up 100,Lawrence Cheng,"Ekin Cheng, Chrissie Chow, Ivana Wong, Jase Ho, Alex Lam, Wen Xin, Miriam Chin Wah Yeung, Eric Kot, Kar Lok Chin",Hong Kong,01-Dec-18,2014,TV-14,105,"Comedies, International Movies, Romantic Movies"
s1089,TV Show,"Breakfast, Lunch & Dinner",,"David Chang, Seth Rogen, Chrissy Teigen, Lena Waithe, Kate McKinnon",United States,23-Oct-19,2019,TV-MA,1,Docuseries
s109,TV Show,3Below: Tales of Arcadia,,"Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost, Glenn Close, Alon Aboutboul, Hayley Atwell, Darin De Paul, Andy Garcia, Cheryl Hines, Tom Kenny, Chris Obi, Cole Sand, Frank Welker, Steven Yeun",United States,12-Jul-19,2019,TV-Y7,2,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
s1090,TV Show,Breaking Bad,,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",United States,02-Aug-13,2013,TV-MA,5,"Crime TV Shows, TV Dramas, TV Thrillers"
s1091,Movie,Breaking Free,Sridhar Rangayan,Sridhar Rangayan,India,15-Dec-17,2015,TV-MA,81,"Documentaries, International Movies, LGBTQ Movies"
s1092,Movie,Breaking the Bank,Vadim Jean,"Kelsey Grammer, Tamsin Greig, John Michael Higgins, Mathew Horne, Pearce Quigley, Togo Igawa, Sonya Cassidy, Julie Dray, Danny Morgan, Andrew Sachs",United Kingdom,01-Jan-20,2014,TV-PG,105,"Comedies, International Movies"
s1093,TV Show,Breakout,,"Jeanette Aw, Elvin Ng, Zhou Ying, Christopher Lee, Dai Xiangyu, Guo Liang",,01-Jul-17,2010,TV-14,1,"International TV Shows, TV Dramas"
s1094,Movie,Breath,Simon Baker,"Samson Coulter, Ben Spence, Simon Baker, Elizabeth Debicki, Richard Roxburgh, Rachael Blake, Jacek Koman",Australia,05-Dec-18,2018,TV-MA,116,"Dramas, Sports Movies"
s1095,Movie,Brené Brown: The Call to Courage,Sandra Restrepo,Brené Brown,,19-Apr-19,2019,TV-14,77,Documentaries
s1096,TV Show,Brews Brothers,,"Alan Aisenberg, Mike Castle, Carmen Flood, Marques Ray",United States,10-Apr-20,2020,TV-MA,1,TV Comedies
s1097,Movie,Brian Regan: Nunchucks and Flamethrowers,Troy Miller,Brian Regan,United States,21-Nov-17,2017,TV-PG,61,Stand-Up Comedy
s1098,Movie,Brick,Rian Johnson,"Joseph Gordon-Levitt, Nora Zehetner, Lukas Haas, Noah Fleiss, Matt O'Leary, Emilie de Ravin, Noah Segan, Richard Roundtree, Meagan Good, Brian White",United States,01-Sep-18,2005,R,110,"Independent Movies, Thrillers"
